objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,identifier,source,type,format,language,rights,rightsstatement
22,review.pdf,,"Katsumi Fukasawa, Toilerie et Commerce du Levant au XVIII Siècle d'Alep à Marseille",Digital Ottoman Studies,1988,"Katsumi Fukasawa, Toilerie et Commerce du Levant au XVIII Siècle d'Alep à Marseille, Kitap Değerlendirmesi",Kitap Değerlendirmesi;Ticaret;Akdeniz;Şehirler;Halep;Marsilya;Yüzyıllar;18.Yy,İstanbul,41.1292562,28.88335172,MG-22,Türk-Arab İlişkileri İncelemeleri Yıllığı: 191-196,Döküman,application/pdf,eng,https://www.academia.edu/7838737/Review_Katsumi_FUKASAWA_Toilerie_et_commerce_du_Levant_au_XVIII_siècle_dAlep_à_Marseille_1987,
23,modern.pdf,,Modern İktisadi Büyüme Karşısında Osmanlı Sistemi ve Ekonomisi,Digital Ottoman Studies,2014,Modern İktisadi Büyüme Karşısında Osmanlı Sistemi ve Ekonomisi,Makale;İktisat;Dönemler;Modern,,,,MG-23,"Türkiye Günlüğü, 119: 5-15",Döküman,application/pdf,tr,https://www.academia.edu/12094195/Modern_İktisadi_Büyüme_Karşısında_Osmanlı_Sistemi_ve_Ekonomisi,
24,vakıf.pdf,,Klasik Osmanlı Sosyal-İktisadî Sistemi ve Vakıflar,Digital Ottoman Studies,2014,Klasik Osmanlı Sosyal-İktisadî Sistemi ve Vakıflar,Makale;İktisat;İktisadi Sistem;Toplum;Vakıflar;Dönemler;Klasik,,,,MG-24,"Vakıflar Dergisi, 42: 9-18",Döküman,application/pdf,tr,https://www.academia.edu/12094170/Klasik_Osmanlı_Sosyal_İktisadi_Sistemi_ve_Vakıflar,
25,iktisadi.pdf,,19. Yüzyılda Osmanlı İktisadî Dünya Görüşünün Klasik Prensiplerindeki Değişmeler,Digital Ottoman Studies,1999-06,19. Yüzyılda Osmanlı İktisadî Dünya Görüşünün Klasik Prensiplerindeki Değişmeler,Makale;İktisat;İktisadi Düşünce;Dönemler;Modern;Yüzyıllar;19.Yy,,,,MG-25,"Divan: Disiplinlerarası Çalışmalar Dergisi, 6: 1-8",Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/divan/issue/25935/273232,
26,guerre.pdf,,L'Économie Ottomane et la Guerre au XVIII e Siècle,Digital Ottoman Studies,1995,L'Économie Ottomane et la Guerre au XVIII e Siècle,Makale;İktisat;Devlet;Savaş;Yüzyıllar;18.Yy,,,,MG-26,"Turcica, 27: 177-196",Döküman,application/pdf,fr,https://www.academia.edu/7914628/LÉconomie_ottomane_et_la_guerre_au_XVIII_e_siècle_Turcica_1995_27_177_196,
27,talid.pdf,,Osmanlı’da Devlet ve Ekonomi Üzerine,Digital Ottoman Studies,2003,Osmanlı’da Devlet ve Ekonomi Üzerine,Makale;İktisat;Devlet,İstanbul;TALİD,41.1292562,28.88335172,MG-27,"Türkiye Araştırmaları Literatür Dergisi, 1/1: 369-384",Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/talid/issue/43380/528513,
28,makale.jpg,,18. Yüzyılda Osmanlı Sanayii,Digital Ottoman Studies,1991,18. Yüzyılda Osmanlı Sanayii,Makale;İktisat;Sanayii;Yüzyıllar;18.Yy,,,,MG-28,"Toplum ve Ekonomi, 2: 99-124",Görüntü,image/jpg,tr,,
29,saray.pdf,,19. Yüzyılın Ortalarında Osmanlı Ekonomisi,Digital Ottoman Studies,2012,19. Yüzyılın Ortalarında Osmanlı Ekonomisi,Makale;İktisat;Dönemler;Modern;Yüzyıllar;19.Yy,,,,MG-29,"Milli Saraylar Sanat Tarih Mimarlık Dergisi, 10: 11-21",Döküman,application/pdf,tr,https://www.academia.edu/7838547/19_Yüzyıl_Ortalarında_Osmanlı_Ekonomisi,
30,ilke.pdf,,Osmanlı İktisadî Dünya Görüşünün İlkeleri,Digital Ottoman Studies,1989,Osmanlı İktisadî Dünya Görüşünün İlkeleri,Makale;İktisat;İktisadi Düşünce,,,,MG-30,"İstanbul Üniversitesi Edebiyat Fakültesi Sosyoloji Dergisi, 3/1: 175-185",Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/iusosyoloji/issue/533/4903,
31,makale.jpg,,18. Yüzyılda Türkiye’den Fransa’ya Yapılan Pamuklu İhracatı ile İlgili Bir Araştırma Hakkında Düşünceler,Digital Ottoman Studies,1988,18. Yüzyılda Türkiye’den Fransa’ya Yapılan Pamuklu İhracatı ile İlgili Bir Araştırma Hakkında Düşünceler,Makale;Ticaret;İhracat;Pamuk;Ülkeler;Fransa,,,,MG-31,"Türk Dünyasını Araştırmaları Dergisi, 57: 152-156",Görüntü,image/jpg,tr,https://dergipark.org.tr/tr/pub/tda,
32,makale.jpg,,18. Yüzyıla Ait Osmanlı Mali Verilerinin İktisadi Faaliyetin Göstergesi Olarak Kullanılabilirliği Üzerinde Bir Çalışma,Digital Ottoman Studies,1981-02,18. Yüzyıla Ait Osmanlı Mali Verilerinin İktisadi Faaliyetin Göstergesi Olarak Kullanılabilirliği Üzerinde Bir Çalışma,Makale;İktisat;İktisadi Faaliyet;Maliye;Yüzyıllar;18.Yy,,,,MG-32,"Türk Dünyası Araştırmaları Dergisi, 2/10: 33-77",Görüntü,image/jpg,tr,https://dergipark.org.tr/tr/pub/tda,
33,makale.jpg,,17-19. Yüzyıllarda Sanayi ve Ticaret Merkezi Olarak Tokat,Digital Ottoman Studies,1987,17-19. Yüzyıllarda Sanayi ve Ticaret Merkezi Olarak Tokat,Makale;Ticaret;İktisat;Sanayii;Şehirler;Tokat;Yüzyıllar;17.Yy;19.Yy,,,,MG-33,"Türklük Araştırma Dergisi, 3: 35-56",Görüntü,image/jpg,tr,,
34,makale.jpg,,18. Yüzyılda Osmanlı Ekonomisi ve Savaş,Digital Ottoman Studies,1984-05,18. Yüzyılda Osmanlı Ekonomisi ve Savaş,Makale;İktisat;Devlet;Savaş;Yüzyıllar;18.Yy,,,,MG-34,"Yapıt, Toplumsal Araştırmalar Dergisi, 49, Mayıs: 52-61",Görüntü,image/jpg,tr,,
35,makale.jpg,,18. Yüzyılda Osmanlı Ekonomisi ve Savaş,Digital Ottoman Studies,1984,18. Yüzyılda Osmanlı Ekonomisi ve Savaş,Makale;İktisat;Devlet;Savaş;Yüzyıllar;18.Yy,,,,MG-35,"Yapıt, Toplumsal Araştırmalar Dergisi, 50: 86-93",Görüntü,image/jpg,tr,,
36,makale.jpg,,İki İmparatorluğun Başkenti,Digital Ottoman Studies,1998-10,İki İmparatorluğun Başkenti,Makale;Şehirler;İstanbul,İstanbul,41.1292562,28.88335172,MG-36,"İstanbullu, 12-14",Görüntü,image/jpg,tr,,
37,commerce.pdf,,Contrôle et Taxation du Commerce du Café dans l’Empire Ottoman fin XVIIe—Première Moitié du XVIIIe Siècle,Digital Ottoman Studies,2001,Contrôle et Taxation du Commerce du Café dans l’Empire Ottoman fin XVIIe—Première Moitié du XVIIIe Siècle,Kitap Bölümü;İktisat;Maliye;Vergi;Ticaret;Kahve;Yüzyıllar;17.Yy;18.Yy,"Mısır,Kahire",30.28545304,31.24917571,MG-37,"Michel Tuchscherer ed. Le Commerce du Café: Avant l’ére des Plantations Coloniales Espaces, Réseaux, Sociétés (XVe-XIXe Siécle): 161-179",Döküman,application/pdf,fr,https://www.academia.edu/7838756/_Contrôle_et_taxation_du_commerce_du_café_dans_l_Empire_ottoman_fin_XVIIe_première_moitié_du_XVIIIe_siècle_le_commerce_du_café_avant_l_ére_des_plantations_coloniales_espaces_réseaux_sociétés_XVe_XIXe_siécle_2001_161_179,
38,anatomi.jpg,,"Osmanlı’da Zanaat, Ahlâk ve İktisat İlişkisi",Digital Ottoman Studies,1995,"Osmanlı’da Zanaat, Ahlâk ve İktisat İlişkisi",Kitap Bölümü;İktisat;İktisadi Düşünce;Ticaret;Zanaat,İstanbul,41.1292562,28.88335172,MG-38,"Anatomi Dersleri: Osmanlı Kültürü, Yapı Kredi Yayınları, 106-145 ",Görüntü,image/jpg,fr,https://www.yapikrediyayinlari.com.tr,
39,industry.pdf,,"Ottoman Industry in the Eighteenth Century: General Framework, Characteristics and Main Trends",Digital Ottoman Studies,1994,"Ottoman Industry in the Eighteenth Century: General Framework, Characteristics and Main Trends",Kitap Bölümü;İktisat;Sanayii;Yüzyıllar;18.Yy,New York,40.71973899,-73.98783181,MG-39,"Donald Quataert ed., Manufacturing in the Ottoman Empire and Turkey (1500-1950), State University of New York Press, 59-86 ",Döküman,application/pdf,eng,https://www.academia.edu/7838797/_Ottoman_industry_in_the_eighteenth_century_general_framework_characteristics_and_main_trends_Manufacturing_in_the_Ottoman_Empire_and_Turkey_1500_1950_1994_59_86,
40,yorum.pdf,,Tarih Araştırmaları Üzerine Yorum,Digital Ottoman Studies,1986,Tarih Araştırmaları Üzerine Yorum,Kitap Bölümü;Tarihçilik,Ankara,39.9753847,32.75741589,MG-40,"Sevil Atauz ed., Türkiye'de Sosyal Bilim Araştırmalarının Gelişimi, Türk Sosyal Bilimler Derneği Yayınları, 439-446",Döküman,application/pdf,tr,https://www.academia.edu/7838820/Tarih_Araştırmaları_Oturumu_Üzerine_Yorum,
41,feasibility.pdf,,A Study of the Feasibility of Using Eighteenth-century Ottoman Financial Records as an Indicator of Economic Activity,Digital Ottoman Studies,1987,A Study of the Feasibility of Using Eighteenth-century Ottoman Financial Records as an Indicator of Economic Activity,Kitap Bölümü;İktisat;Yüzyıllar;18.Yy,Cambridge,52.21079386,0.1227536308,MG-41,"Huri İslamoğlu-İnan ed., The Ottoman Empire and the World-Economy, Cambridge University Press, p. 345-373",Döküman,application/pdf,eng,https://www.academia.edu/7838746/_A_study_of_the_feasibility_of_using_eighteenth_century_Ottoman_financial_records_as_an_indicator_of_economic_activity_The_Ottoman_Empire_and_the_world_economy_1987_345_73,
42,tarihsel.jpg,,Tarihsel Sosyoloji Üzerine Söyleşi,Digital Ottoman Studies,2008,Tarihsel Sosyoloji Üzerine Söyleşi,Kitap Bölümü;Tarihçilik;Tarihsel Sosyoloji,Ankara,39.9753847,32.75741589,MG-42,"Elizabeth Özdalga ed., Tarihsel Sosyoloji, Doğu Batı Yayınları, 63-96",Döküman,application/pdf,tr,https://www.dogubati.com,
43,deli.pdf,,Tarihimize Giydirilen Deli Gömleği: Osmanlı Tarihinde Dönemlendirme Meselesi,Digital Ottoman Studies,2011,Tarihimize Giydirilen Deli Gömleği: Osmanlı Tarihinde Dönemlendirme Meselesi,Kitap Bölümü;Tarihçilik;Dönemlendirme,İstanbul,41.1292562,28.88335172,MG-43,"Mustafa Armağan ed., Osmanlı Tarihini Yeniden Yazmak Gerileme Paradigmasının Sonu, Timaş Yayınları, 319-326",Döküman,application/pdf,tr,http://www.timas.com.tr,
44,kültürler.jpg,,Klasik Osmanlı İktisadî Sisteminde İstanbul’un Yeri,Digital Ottoman Studies,2010,Klasik Osmanlı İktisadî Sisteminde İstanbul’un Yeri,Kitap Bölümü;İktisat;İktisadi Sistem;Şehirler;İstanbul;Dönemler;Klasik,İstanbul,41.1292562,28.88335172,MG-44,"Kültür Başkenti İstanbul, Türk Kültürüne Hizmet Vakfı Yayınları, 224-231",Görüntü,image/jpg,tr,https://tkhv.org.tr/yayinlar/,
45,dört.pdf,,Yaptıklarım Yapacaklarımın Yan Ürünüdür,Digital Ottoman Studies,2006,Yaptıklarım Yapacaklarımın Yan Ürünüdür,Kitap Bölümü;Tarihçilik,İstanbul,41.1292562,28.88335172,MG-45,"Türk Tarihçiliğinde Dört Sima, Timaş Yayınları, 249-254.",Döküman,application/pdf,tr,http://www.timas.com.tr,
46,gezinti.pdf,,İktisat Tarihi Bakımından Osmanlı Arşivinde Kısa Bir Gezinti,Digital Ottoman Studies,2004,İktisat Tarihi Bakımından Osmanlı Arşivinde Kısa Bir Gezinti,Kitap Bölümü;İktisat;Tarihçilik;Kaynaklar;Arşiv,İstanbul,41.1292562,28.88335172,MG-46,"Ertan Eğribel, Ufuk Özcan ed., Sosyoloji Yıllığı, Kitap 11, Baykan Sezer’e Armağan: Baykan Sezer ve Türk Sosyolojisi, 287-294",Döküman,application/pdf,tr,https://www.academia.edu/7838874/İktisat_Tarihi_Bakımından_Osmanlı_Arşivinde_Kısa_Bir_Gezinti,
47,reforms.pdf,,State and the Economy in the Age of Reforms: Continuity and Change,Digital Ottoman Studies,2000,State and the Economy in the Age of Reforms: Continuity and Change,Kitap Bölümü;İktisat;Devlet;Reform,Leiden,52.16014932,4.491806876,MG-47,"Kemal H. Karpat ed., Ottoman Past and Today’s Turkey, Brill, Leiden, Boston, Köln, 180-187.",Döküman,application/pdf,tr,https://www.academia.edu/7838803/Genç_Mehmet_State_and_the_Economy_in_the_Age_of_Reforms_Continuity_and_Change_2000,
48,mukataakavramı.pdf,,Osmanlı Maliyesinde Mukataa Kavramı,Digital Ottoman Studies,2006,Osmanlı Maliyesinde Mukataa Kavramı,Kitap Bölümü;İktisat;Maliye;Vergi,İstanbul,41.1292562,28.88335172,MG-48,"Mehmed Genç, Erol Özvar eds., Osmanlı Maliyesi Kurumlar ve Bütçeler-1, Osmanlı Bankası Arşiv ve Araştırma Merkezi, 57-64",Döküman,,,https://www.academia.edu/7838509/Osmanlı_Maliyesi_Kurumlar_ve_Bütçeler_1_Erol_Özvar_ile_Birlikte_,
49,devlet.jpg,,Osmanlı İmparatorluğu'nda Devlet ve Ekonomi,Digital Ottoman Studies,2000,Osmanlı İmparatorluğu'nda Devlet ve Ekonomi,Kitap;İktisat;Devlet,İstanbul,41.1292562,28.88335172,MG-49,Ötüken Yayınları,Görüntü,image/jpg,tr,https://www.otuken.com.tr,
50,konuşmalar.jpg,,Osmanlı Ekonomisine Dair Konuşmalar I,Digital Ottoman Studies,2021,Osmanlı Ekonomisine Dair Konuşmalar I,Kitap;İktisat,İstanbul,41.1292562,28.88335172,MG-50,Ötüken Yayınları,Görüntü,image/jpg,tr,https://www.otuken.com.tr,
51,deprem.jpg,,İstanbul Depremleri - Fotoğraf ve Belgelerle 1894 Depremi,Digital Ottoman Studies,2001,İstanbul Depremleri - Fotoğraf ve Belgelerle 1894 Depremi,Kitap;Doğal Afet;Deprem;Şehirler;İstanbul;Dönemler;Modern;Yüzyıllar;19.Yy,İstanbul,41.1292562,28.88335172,MG-51,İgdaş,Görüntü,image/jpg,tr,https://www.igdas.istanbul/diger-yayinlar,
52,bütçeler1.jpg,,Osmanlı Maliyesi Kurumlar ve Bütçeler-1 ,Digital Ottoman Studies,2006,Osmanlı Maliyesi Kurumlar ve Bütçeler-1 ,Kitap;İktisat;Maliye;Kurumlar;Bütçe,İstanbul,41.1292562,28.88335172,MG-52,"Mehmed Genç, Erol Özvar eds.,Osmanlı Bankası Arşiv ve Araştırma Merkezi",Görüntü,image/jpg,tr,,
53,bütçeler1ve2.jpeg,,Osmanlı Maliyesi Kurumlar ve Bütçeler-2,Digital Ottoman Studies,2006,Osmanlı Maliyesi Kurumlar ve Bütçeler-2,Kitap;İktisat;Maliye;Kurumlar;Bütçe,İstanbul,41.1292562,28.88335172,MG-53,"Mehmed Genç, Erol Özvar eds.,Osmanlı Bankası Arşiv ve Araştırma Merkezi",Görüntü,image/jpg,tr,,
54,çeviri.jpg,,"Ahmed Djevad, Yabancılara Göre Eski Türkler",Digital Ottoman Studies,2013,"Ahmed Djevad, Yabancılara Göre Eski Türkler",Çeviri;Toplum;Türkler;Yabancılar;Kişiler;Ahmed Djevad,İstanbul,41.1292562,28.88335172,MG-54,Kitabevi Yayınları,Görüntü,image/jpg,tr,https://www.kitabeviyayinlari.com,
55,bildiri.jpg,,"Le Commerce du Café, Son Contrôl et Sa Taxation Dans l’Empire Otoman Entre la fi du 17éme Siècle Début du 18éme Siècle",Digital Ottoman Studies,1997-10-09,"Le Commerce du Café, Son Contrôl et Sa Taxation Dans l’Empire Otoman Entre la fi du 17éme Siècle Début du 18éme Siècle",Bildiri;İktisat;Maliye;Vergi;Ticaret;Kahve;Yüzyıllar;17.Yy;18.Yy,"Fransa,Montpellier",43.62167572,3.848075907,MG-55,"Le Café avant l’ère des Plantations Coloniales Espaces et Réseaux, Sociétés (XVe-XVIIIe siècles)",Görüntü,image/jpg,fr,,
56,ibb.jpg,,İstanbul’un Fethi: İktisadi Sonuçları,Digital Ottoman Studies,1997,İstanbul’un Fethi: İktisadi Sonuçları,Bildiri;İktisat;Devlet;Fetih;Şehirler;İstanbul,İstanbul,41.1292562,28.88335172,MG-56,"İkinci Uluslararası İstanbul’un Fethi Konferansı, 30-31 Mayıs, 1 Haziran 1997, Bildiriler: İBB Kültür İşleri Daire Başkanlığı Yayınları, 199-203",Görüntü,image/jpg,tr,https://www.ibb.istanbul/CorporateUnit/Detail/23,
57,ibb.jpg,,Genel Değerlendirme,Digital Ottoman Studies,1997,Genel Değerlendirme,Bildiri;Değerlendirme,İstanbul,41.1292562,28.88335172,MG-57,"İkinci Uluslararası İstanbul’un Fethi Konferansı, 30-31 Mayıs, 1 Haziran 1997, Bildiriler: İBB Kültür İşleri Daire Başkanlığı Yayınları, 310-313",Görüntü,image/jpg,tr,https://www.ibb.istanbul/CorporateUnit/Detail/23,
58,zekat.pdf,,İktisadî Açıdan Osmanlı’da Zekât Uygulamaları ,Digital Ottoman Studies,2017,İktisadî Açıdan Osmanlı’da Zekât Uygulamaları ,Bildiri;İktisat;Zekat,İstanbul,41.1292562,28.88335172,MG-58,"Tarihte ve Günümüzde Zekât Uygulamaları Milletlerarası Tartışmalı İlmî Toplantı, 03-04 Aralık 2016, Ensar Neşriyat, 255-261",Döküman,application/pdf,tr,http://isamveri.org/pdfdrg/G00202/2017/2017_KAYAS1.pdf,
59,kalkınma.pdf,,Kalkınma Meselemize Tarihî Yaklaşım,Digital Ottoman Studies,1987,Kalkınma Meselemize Tarihî Yaklaşım,Bildiri;İktisat;İktisadi Büyüme;Kalkınma,İstanbul,41.1292562,28.88335172,MG-59,"İktisadi Kalkınma ve İslam, İslami Araştırma Vakfı Yayınları, 211-221",Döküman,application/pdf,tr,http://isamveri.org/pdfdrg/D013936/1987/1987_GENCM.pdf,
60,neden.pdf,,Neden Fetih?,Digital Ottoman Studies,1997,Neden Fetih?,Bildiri;Devlet;Fetih;Şehirler;İstanbul,İstanbul,41.1292562,28.88335172,MG-60,"Birinci Uluslararası İstanbul’un Fethi Konferansı, 24-25 Mayıs 1996, Bildiriler: İBB Kültür İşleri Daire Başkanlığı Yayınları, 96-98",Döküman,application/pdf,tr,http://isamveri.org/pdfdrg/D069512/1997/1997_GENCM.pdf,
61,ibb1.jpg,,Genel Değerlendirme,Digital Ottoman Studies,1997,Genel Değerlendirme,Bildiri;Değerlendirme,İstanbul,41.1292562,28.88335172,MG-61,"Birinci Uluslararası İstanbul’un Fethi Konferansı, 24-25 Mayıs 1996, Bildiriler: İBB Kültür İşleri Daire Başkanlığı Yayınları, 219-222",Görüntü,image/jpg,tr,http://isamveri.org/pdfdrg/D069512/1997/1997_GENCM.pdf,
62,milletlerarası.jpg,,Osmanlı İmparatorluğunda Devlet ve Ekonomi,Digital Ottoman Studies,1990,Osmanlı İmparatorluğunda Devlet ve Ekonomi,Bildiri;İktisat;Devlet,İstanbul,41.1292562,28.88335172,MG-62,"V. Milletlerarası Türkiye Sosyal ve İktisat Tarihi Kongresi,  21-25 Ağustos 1989, Tebliğler: TTK Yayınları, 13-25",Görüntü,image/jpg,tr,https://www.ttk.gov.tr/en/,
63,arşiv.jpg,,Osmanlı Arşivlerinden Yararlanma Yöntemi,Digital Ottoman Studies,1985-05,Osmanlı Arşivlerinden Yararlanma Yöntemi,Bildiri;Tarihçilik;Kaynaklar;Arşiv,İstanbul,41.1292562,28.88335172,MG-63,"Osmanlı Arşivleri ve Osmanlı Araştırmaları Sempozyumu (Mayıs 1985), Türk-Arap İlişkileri İncelemeleri Vakfı, 155-162",Görüntü,image/jpg,tr,,
